,author,title,body,date,rating,helpful
2114,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2115,,good price,It is what i was looking,2018-10-29,5,0
2116,,Ease of use.,Continuous improvement,2018-10-29,5,0
2117,,Five Stars,Good item,2018-10-29,5,0
2118,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2119,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2120,,Love it,I absolutely love it,2018-10-29,5,0
2121,,Item as described,Item as described,2018-10-29,5,0
2122,,Love love love,Love love love it!!!!,2018-10-29,5,0
2123,,Easy yo use,Love it,2018-10-29,5,0
2124,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2125,,good price,It is what i was looking,2018-10-29,5,0
2126,,Ease of use.,Continuous improvement,2018-10-29,5,0
2127,,Five Stars,Good item,2018-10-29,5,0
2128,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2129,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2130,,Love it,I absolutely love it,2018-10-29,5,0
2131,,Item as described,Item as described,2018-10-29,5,0
2132,,Love love love,Love love love it!!!!,2018-10-29,5,0
2133,,Easy yo use,Love it,2018-10-29,5,0
2134,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2135,,good price,It is what i was looking,2018-10-29,5,0
2136,,Ease of use.,Continuous improvement,2018-10-29,5,0
2137,,Five Stars,Good item,2018-10-29,5,0
2138,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2139,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2140,,Love it,I absolutely love it,2018-10-29,5,1
2141,,Item as described,Item as described,2018-10-29,5,1
2142,,Love love love,Love love love it!!!!,2018-10-29,5,1
2143,,Easy yo use,Love it,2018-10-29,5,1
2144,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2145,,good price,It is what i was looking,2018-10-29,5,1
2146,,Ease of use.,Continuous improvement,2018-10-29,5,1
2147,,Five Stars,Good item,2018-10-29,5,1
2148,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2149,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2150,,Love it,I absolutely love it,2018-10-29,5,0
2151,,Item as described,Item as described,2018-10-29,5,0
2152,,Love love love,Love love love it!!!!,2018-10-29,5,0
2153,,Easy yo use,Love it,2018-10-29,5,0
2154,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2155,,good price,It is what i was looking,2018-10-29,5,0
2156,,Ease of use.,Continuous improvement,2018-10-29,5,0
2157,,Five Stars,Good item,2018-10-29,5,0
2158,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2159,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2160,,Love it,I absolutely love it,2018-10-29,5,1
2161,,Item as described,Item as described,2018-10-29,5,1
2162,,Love love love,Love love love it!!!!,2018-10-29,5,1
2163,,Easy yo use,Love it,2018-10-29,5,1
2164,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2165,,good price,It is what i was looking,2018-10-29,5,1
2166,,Ease of use.,Continuous improvement,2018-10-29,5,1
2167,,Five Stars,Good item,2018-10-29,5,1
2168,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2169,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2170,,Love it,I absolutely love it,2018-10-29,5,0
2171,,Item as described,Item as described,2018-10-29,5,0
2172,,Love love love,Love love love it!!!!,2018-10-29,5,0
2173,,Easy yo use,Love it,2018-10-29,5,0
2174,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2175,,good price,It is what i was looking,2018-10-29,5,0
2176,,Ease of use.,Continuous improvement,2018-10-29,5,0
2177,,Five Stars,Good item,2018-10-29,5,0
2178,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2179,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2180,,Love it,I absolutely love it,2018-10-29,5,0
2181,,Item as described,Item as described,2018-10-29,5,0
2182,,Love love love,Love love love it!!!!,2018-10-29,5,0
2183,,Easy yo use,Love it,2018-10-29,5,0
2184,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2185,,good price,It is what i was looking,2018-10-29,5,0
2186,,Ease of use.,Continuous improvement,2018-10-29,5,0
2187,,Five Stars,Good item,2018-10-29,5,0
2188,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2189,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2190,,Love it,I absolutely love it,2018-10-29,5,1
2191,,Item as described,Item as described,2018-10-29,5,1
2192,,Love love love,Love love love it!!!!,2018-10-29,5,1
2193,,Easy yo use,Love it,2018-10-29,5,1
2194,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2195,,good price,It is what i was looking,2018-10-29,5,1
2196,,Ease of use.,Continuous improvement,2018-10-29,5,1
2197,,Five Stars,Good item,2018-10-29,5,1
2198,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2199,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2200,,Love it,I absolutely love it,2018-10-29,5,0
2201,,Item as described,Item as described,2018-10-29,5,0
2202,,Love love love,Love love love it!!!!,2018-10-29,5,0
2203,,Easy yo use,Love it,2018-10-29,5,0
2204,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2205,,good price,It is what i was looking,2018-10-29,5,0
2206,,Ease of use.,Continuous improvement,2018-10-29,5,0
2207,,Five Stars,Good item,2018-10-29,5,0
2208,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2209,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2210,,Item as described,Item as described,2018-10-29,5,0
2211,,Love love love,Love love love it!!!!,2018-10-29,5,0
2212,,Easy yo use,Love it,2018-10-29,5,0
2213,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2214,,good price,It is what i was looking,2018-10-29,5,0
2215,,Ease of use.,Continuous improvement,2018-10-29,5,0
2216,,Five Stars,Good item,2018-10-29,5,0
2217,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2218,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2219,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
2220,,Love it,I absolutely love it,2018-10-29,5,0
2221,,Item as described,Item as described,2018-10-29,5,0
2222,,Love love love,Love love love it!!!!,2018-10-29,5,0
2223,,Easy yo use,Love it,2018-10-29,5,0
2224,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2225,,good price,It is what i was looking,2018-10-29,5,0
2226,,Ease of use.,Continuous improvement,2018-10-29,5,0
2227,,Five Stars,Good item,2018-10-29,5,0
2228,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2229,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2230,,Love it,I absolutely love it,2018-10-29,5,1
2231,,Item as described,Item as described,2018-10-29,5,1
2232,,Love love love,Love love love it!!!!,2018-10-29,5,1
2233,,Easy yo use,Love it,2018-10-29,5,1
2234,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2235,,good price,It is what i was looking,2018-10-29,5,1
2236,,Ease of use.,Continuous improvement,2018-10-29,5,1
2237,,Five Stars,Good item,2018-10-29,5,1
2238,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2239,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2240,,Love it,I absolutely love it,2018-10-29,5,0
2241,,Item as described,Item as described,2018-10-29,5,0
2242,,Love love love,Love love love it!!!!,2018-10-29,5,0
2243,,Easy yo use,Love it,2018-10-29,5,0
2244,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2245,,good price,It is what i was looking,2018-10-29,5,0
2246,,Ease of use.,Continuous improvement,2018-10-29,5,0
2247,,Five Stars,Good item,2018-10-29,5,0
2248,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2249,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2250,,Love it,I absolutely love it,2018-10-29,5,0
2251,,Item as described,Item as described,2018-10-29,5,0
2252,,Love love love,Love love love it!!!!,2018-10-29,5,0
2253,,Easy yo use,Love it,2018-10-29,5,0
2254,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2255,,good price,It is what i was looking,2018-10-29,5,0
2256,,Ease of use.,Continuous improvement,2018-10-29,5,0
2257,,Five Stars,Good item,2018-10-29,5,0
2258,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2259,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2260,,Love it,I absolutely love it,2018-10-29,5,1
2261,,Item as described,Item as described,2018-10-29,5,1
2262,,Love love love,Love love love it!!!!,2018-10-29,5,1
2263,,Easy yo use,Love it,2018-10-29,5,1
2264,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2265,,good price,It is what i was looking,2018-10-29,5,1
2266,,Ease of use.,Continuous improvement,2018-10-29,5,1
2267,,Five Stars,Good item,2018-10-29,5,1
2268,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2269,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2270,,Love it,I absolutely love it,2018-10-29,5,1
2271,,Item as described,Item as described,2018-10-29,5,1
2272,,Love love love,Love love love it!!!!,2018-10-29,5,1
2273,,Easy yo use,Love it,2018-10-29,5,1
2274,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2275,,good price,It is what i was looking,2018-10-29,5,1
2276,,Ease of use.,Continuous improvement,2018-10-29,5,1
2277,,Five Stars,Good item,2018-10-29,5,1
2278,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2279,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2280,,Love it,I absolutely love it,2018-10-29,5,1
2281,,Item as described,Item as described,2018-10-29,5,1
2282,,Love love love,Love love love it!!!!,2018-10-29,5,1
2283,,Easy yo use,Love it,2018-10-29,5,1
2284,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2285,,good price,It is what i was looking,2018-10-29,5,1
2286,,Ease of use.,Continuous improvement,2018-10-29,5,1
2287,,Five Stars,Good item,2018-10-29,5,1
2288,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2289,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2290,,Love it,I absolutely love it,2018-10-29,5,1
2291,,Item as described,Item as described,2018-10-29,5,1
2292,,Love love love,Love love love it!!!!,2018-10-29,5,1
2293,,Easy yo use,Love it,2018-10-29,5,1
2294,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2295,,good price,It is what i was looking,2018-10-29,5,1
2296,,Ease of use.,Continuous improvement,2018-10-29,5,1
2297,,Five Stars,Good item,2018-10-29,5,1
2298,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2299,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2300,,Love it,I absolutely love it,2018-10-29,5,0
2301,,Item as described,Item as described,2018-10-29,5,0
2302,,Love love love,Love love love it!!!!,2018-10-29,5,0
2303,,Easy yo use,Love it,2018-10-29,5,0
2304,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2305,,good price,It is what i was looking,2018-10-29,5,0
2306,,Ease of use.,Continuous improvement,2018-10-29,5,0
2307,,Five Stars,Good item,2018-10-29,5,0
2308,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2309,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2310,,Love it,I absolutely love it,2018-10-29,5,0
2311,,Item as described,Item as described,2018-10-29,5,0
2312,,Love love love,Love love love it!!!!,2018-10-29,5,0
2313,,Easy yo use,Love it,2018-10-29,5,0
2314,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2315,,good price,It is what i was looking,2018-10-29,5,0
2316,,Ease of use.,Continuous improvement,2018-10-29,5,0
2317,,Five Stars,Good item,2018-10-29,5,0
2318,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2319,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2320,,Love it,I absolutely love it,2018-10-29,5,1
2321,,Item as described,Item as described,2018-10-29,5,1
2322,,Love love love,Love love love it!!!!,2018-10-29,5,1
2323,,Easy yo use,Love it,2018-10-29,5,1
2324,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2325,,good price,It is what i was looking,2018-10-29,5,1
2326,,Ease of use.,Continuous improvement,2018-10-29,5,1
2327,,Five Stars,Good item,2018-10-29,5,1
2328,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2329,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2330,,Love it,I absolutely love it,2018-10-29,5,0
2331,,Item as described,Item as described,2018-10-29,5,0
2332,,Love love love,Love love love it!!!!,2018-10-29,5,0
2333,,Easy yo use,Love it,2018-10-29,5,0
2334,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2335,,good price,It is what i was looking,2018-10-29,5,0
2336,,Ease of use.,Continuous improvement,2018-10-29,5,0
2337,,Five Stars,Good item,2018-10-29,5,0
2338,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2339,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2340,,Love it,I absolutely love it,2018-10-29,5,1
2341,,Item as described,Item as described,2018-10-29,5,1
2342,,Love love love,Love love love it!!!!,2018-10-29,5,1
2343,,Easy yo use,Love it,2018-10-29,5,1
2344,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2345,,good price,It is what i was looking,2018-10-29,5,1
2346,,Ease of use.,Continuous improvement,2018-10-29,5,1
2347,,Five Stars,Good item,2018-10-29,5,1
2348,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2349,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2350,,Love it,I absolutely love it,2018-10-29,5,0
2351,,Item as described,Item as described,2018-10-29,5,0
2352,,Love love love,Love love love it!!!!,2018-10-29,5,0
2353,,Easy yo use,Love it,2018-10-29,5,0
2354,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2355,,good price,It is what i was looking,2018-10-29,5,0
2356,,Ease of use.,Continuous improvement,2018-10-29,5,0
2357,,Five Stars,Good item,2018-10-29,5,0
2358,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2359,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2360,,Item as described,Item as described,2018-10-29,5,1
2361,,Love love love,Love love love it!!!!,2018-10-29,5,1
2362,,Easy yo use,Love it,2018-10-29,5,1
2363,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2364,,good price,It is what i was looking,2018-10-29,5,1
2365,,Ease of use.,Continuous improvement,2018-10-29,5,1
2366,,Five Stars,Good item,2018-10-29,5,1
2367,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2368,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2369,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
2370,,Love it,I absolutely love it,2018-10-29,5,0
2371,,Item as described,Item as described,2018-10-29,5,0
2372,,Love love love,Love love love it!!!!,2018-10-29,5,0
2373,,Easy yo use,Love it,2018-10-29,5,0
2374,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2375,,good price,It is what i was looking,2018-10-29,5,0
2376,,Ease of use.,Continuous improvement,2018-10-29,5,0
2377,,Five Stars,Good item,2018-10-29,5,0
2378,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2379,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2380,,Love it,I absolutely love it,2018-10-29,5,0
2381,,Item as described,Item as described,2018-10-29,5,0
2382,,Love love love,Love love love it!!!!,2018-10-29,5,0
2383,,Easy yo use,Love it,2018-10-29,5,0
2384,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2385,,good price,It is what i was looking,2018-10-29,5,0
2386,,Ease of use.,Continuous improvement,2018-10-29,5,0
2387,,Five Stars,Good item,2018-10-29,5,0
2388,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2389,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2390,,Love it,I absolutely love it,2018-10-29,5,0
2391,,Item as described,Item as described,2018-10-29,5,0
2392,,Love love love,Love love love it!!!!,2018-10-29,5,0
2393,,Easy yo use,Love it,2018-10-29,5,0
2394,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2395,,good price,It is what i was looking,2018-10-29,5,0
2396,,Ease of use.,Continuous improvement,2018-10-29,5,0
2397,,Five Stars,Good item,2018-10-29,5,0
2398,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2399,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2400,,Item as described,Item as described,2018-10-29,5,1
2401,,Love love love,Love love love it!!!!,2018-10-29,5,1
2402,,Easy yo use,Love it,2018-10-29,5,1
2403,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2404,,good price,It is what i was looking,2018-10-29,5,1
2405,,Ease of use.,Continuous improvement,2018-10-29,5,1
2406,,Five Stars,Good item,2018-10-29,5,1
2407,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2408,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2409,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
2410,,Love it,I absolutely love it,2018-10-29,5,0
2411,,Item as described,Item as described,2018-10-29,5,0
2412,,Love love love,Love love love it!!!!,2018-10-29,5,0
2413,,Easy yo use,Love it,2018-10-29,5,0
2414,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2415,,good price,It is what i was looking,2018-10-29,5,0
2416,,Ease of use.,Continuous improvement,2018-10-29,5,0
2417,,Five Stars,Good item,2018-10-29,5,0
2418,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2419,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2420,,Love it,I absolutely love it,2018-10-29,5,1
2421,,Item as described,Item as described,2018-10-29,5,1
2422,,Love love love,Love love love it!!!!,2018-10-29,5,1
2423,,Easy yo use,Love it,2018-10-29,5,1
2424,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2425,,good price,It is what i was looking,2018-10-29,5,1
2426,,Ease of use.,Continuous improvement,2018-10-29,5,1
2427,,Five Stars,Good item,2018-10-29,5,1
2428,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2429,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2430,,Love it,I absolutely love it,2018-10-29,5,1
2431,,Item as described,Item as described,2018-10-29,5,1
2432,,Love love love,Love love love it!!!!,2018-10-29,5,1
2433,,Easy yo use,Love it,2018-10-29,5,1
2434,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2435,,good price,It is what i was looking,2018-10-29,5,1
2436,,Ease of use.,Continuous improvement,2018-10-29,5,1
2437,,Five Stars,Good item,2018-10-29,5,1
2438,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2439,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2440,,Love it,I absolutely love it,2018-10-29,5,0
2441,,Item as described,Item as described,2018-10-29,5,0
2442,,Love love love,Love love love it!!!!,2018-10-29,5,0
2443,,Easy yo use,Love it,2018-10-29,5,0
2444,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2445,,good price,It is what i was looking,2018-10-29,5,0
2446,,Ease of use.,Continuous improvement,2018-10-29,5,0
2447,,Five Stars,Good item,2018-10-29,5,0
2448,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2449,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2450,,Love it,I absolutely love it,2018-10-29,5,1
2451,,Item as described,Item as described,2018-10-29,5,1
2452,,Love love love,Love love love it!!!!,2018-10-29,5,1
2453,,Easy yo use,Love it,2018-10-29,5,1
2454,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2455,,good price,It is what i was looking,2018-10-29,5,1
2456,,Ease of use.,Continuous improvement,2018-10-29,5,1
2457,,Five Stars,Good item,2018-10-29,5,1
2458,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2459,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2460,,Love it,I absolutely love it,2018-10-29,5,0
2461,,Item as described,Item as described,2018-10-29,5,0
2462,,Love love love,Love love love it!!!!,2018-10-29,5,0
2463,,Easy yo use,Love it,2018-10-29,5,0
2464,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2465,,good price,It is what i was looking,2018-10-29,5,0
2466,,Ease of use.,Continuous improvement,2018-10-29,5,0
2467,,Five Stars,Good item,2018-10-29,5,0
2468,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2469,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2470,,Love it,I absolutely love it,2018-10-29,5,0
2471,,Item as described,Item as described,2018-10-29,5,0
2472,,Love love love,Love love love it!!!!,2018-10-29,5,0
2473,,Easy yo use,Love it,2018-10-29,5,0
2474,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2475,,good price,It is what i was looking,2018-10-29,5,0
2476,,Ease of use.,Continuous improvement,2018-10-29,5,0
2477,,Five Stars,Good item,2018-10-29,5,0
2478,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2479,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2480,,Love it,I absolutely love it,2018-10-29,5,1
2481,,Item as described,Item as described,2018-10-29,5,1
2482,,Love love love,Love love love it!!!!,2018-10-29,5,1
2483,,Easy yo use,Love it,2018-10-29,5,1
2484,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2485,,good price,It is what i was looking,2018-10-29,5,1
2486,,Ease of use.,Continuous improvement,2018-10-29,5,1
2487,,Five Stars,Good item,2018-10-29,5,1
2488,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2489,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2490,,Love it,I absolutely love it,2018-10-29,5,0
2491,,Item as described,Item as described,2018-10-29,5,0
2492,,Love love love,Love love love it!!!!,2018-10-29,5,0
2493,,Easy yo use,Love it,2018-10-29,5,0
2494,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2495,,good price,It is what i was looking,2018-10-29,5,0
2496,,Ease of use.,Continuous improvement,2018-10-29,5,0
2497,,Five Stars,Good item,2018-10-29,5,0
2498,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2499,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2500,,Item as described,Item as described,2018-10-29,5,1
2501,,Love love love,Love love love it!!!!,2018-10-29,5,1
2502,,Easy yo use,Love it,2018-10-29,5,1
2503,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,1
2504,,good price,It is what i was looking,2018-10-29,5,1
2505,,Ease of use.,Continuous improvement,2018-10-29,5,1
2506,,Five Stars,Good item,2018-10-29,5,1
2507,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,1
2508,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,1
2509,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,1
2510,,Item as described,Item as described,2018-10-29,5,0
2511,,Love love love,Love love love it!!!!,2018-10-29,5,0
2512,,Easy yo use,Love it,2018-10-29,5,0
2513,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2514,,good price,It is what i was looking,2018-10-29,5,0
2515,,Ease of use.,Continuous improvement,2018-10-29,5,0
2516,,Five Stars,Good item,2018-10-29,5,0
2517,,Five Stars,Very fun to use for awhile. Ran out of uses for it so it just sits there now.,2018-10-29,5,0
2518,,Great Value For the Price,Great For Quick Research for My sports,2018-10-29,5,0
2519,,Adaptable intelligence,So easy to use and growing smarter everyday. A helpful companion to get general info and so much more.,2018-10-29,4,0
2520,,Love it,I absolutely love it,2018-10-29,5,0
2521,,Item as described,Item as described,2018-10-29,5,0
2522,,Love love love,Love love love it!!!!,2018-10-29,5,0
2523,,Easy yo use,Love it,2018-10-29,5,0
2524,,Good for a small room definitely worth the purchase,"It’s the first Alexa device I ordered, I love it but speaker not very loud",2018-10-29,5,0
2525,,good price,It is what i was looking,2018-10-29,5,0
